Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-2626.631	-2732.6	105.9689	1.377834	0.722167	0.277833	0.9673712
6	-2624.795	-2730.654	105.8588	1.395021	0.678209	0.321791	1.059147
12	-2619.269	-2725.285	106.0161	1.553802	0.713532	0.286468	0.6782022
18	-2622.579	-2728.568	105.9892	1.563923	0.746301	0.253699	0.7083912
24	-2629.764	-2735.91	106.1466	1.407449	0.804037	0.195963	0.7067443
30	-2620.739	-2726.57	105.8307	1.789948	0.800939	0.199061	0.5199408
36	-2621.115	-2726.886	105.7719	1.840537	0.735449	0.264551	0.4356076
42	-2630.379	-2736.157	105.7779	1.455404	0.706771	0.293229	1.078422
48	-2631.456	-2737.352	105.8954	1.375142	0.75095	0.24905	1.043127
54	-2635.507	-2741.424	105.917	1.543462	0.703864	0.296136	0.8397236
60	-2625.922	-2731.595	105.6733	1.933155	0.74277	0.25723	0.4183838
66	-2625.308	-2731.164	105.8558	1.761139	0.738503	0.261497	0.5492179
72	-2620.561	-2726.46	105.8992	1.72084	0.779575	0.220425	0.4732912
78	-2626.614	-2732.472	105.8583	1.762629	0.859534	0.140466	0.5172544
84	-2619.682	-2725.599	105.9178	1.542457	0.702859	0.297141	0.8400633
90	-2625.357	-2731.249	105.8917	1.703846	0.778046	0.221954	0.6227184
96	-2621.336	-2727.359	106.0233	1.551405	0.741478	0.258522	0.668971
102	-2617.3	-2723.225	105.9249	1.552577	0.722336	0.277664	0.818287
108	-2632.677	-2738.773	106.0964	1.400653	0.725147	0.274853	0.7925369
114	-2633.424	-2739.372	105.9478	1.229028	0.709005	0.290995	1.129966
120	-2633.142	-2739.114	105.9721	1.249162	0.746604	0.253396	1.089542
126	-2630.84	-2736.611	105.7707	1.232096	0.81714	0.18286	1.27895
132	-2625.042	-2730.951	105.9085	1.699332	0.827759	0.172241	0.5872136
138	-2632.904	-2738.732	105.8285	1.792371	0.803876	0.196124	0.4832887
144	-2629.639	-2735.606	105.9666	1.294289	0.837935	0.162065	1.052389
150	-2641.134	-2747.08	105.9456	1.667098	0.727536	0.272464	0.5693767
156	-2641.207	-2747.109	105.9014	1.667098	0.733409	0.266591	0.6809232
162	-2626.472	-2732.034	105.5621	1.221518	0.845717	0.154283	1.451931
168	-2622.061	-2728.029	105.9675	1.295831	0.82077	0.17923	1.05009
174	-2620.711	-2726.565	105.8535	1.409813	0.736851	0.263149	1.05009
180	-2622.191	-2728.171	105.9804	1.577662	0.631704	0.368296	0.6997293
186	-2615.015	-2721.008	105.9928	1.563832	0.805784	0.194216	0.7023403
192	-2617.773	-2723.739	105.9652	1.553809	0.772727	0.227273	0.7617354
198	-2621.425	-2727.432	106.0065	1.475884	0.792904	0.207096	0.8119897
204	-2628.386	-2734.376	105.9894	1.620461	0.849448	0.150552	0.5801867
210	-2619.643	-2725.658	106.0145	1.554367	0.797777	0.202223	0.6800856
216	-2628.237	-2734.118	105.8806	1.727144	0.774765	0.225235	0.5874533
222	-2628.763	-2734.809	106.0464	1.450265	0.797313	0.202687	0.7930798
228	-2623.935	-2729.854	105.9187	1.543079	0.732934	0.267066	0.8381574
234	-2629.157	-2735.134	105.9765	1.502605	0.732934	0.267066	0.8162677
240	-2622.416	-2727.857	105.441	1.098034	0.7256	0.2744	1.632986
246	-2621.543	-2727.49	105.9469	1.400309	0.723814	0.276186	0.966843
252	-2617.876	-2723.969	106.093	1.312404	0.723814	0.276186	0.9043037
258	-2622.697	-2728.759	106.0623	1.43542	0.734468	0.265532	0.79161
